location_id,latitude,longitude,landfall
1,10.2N,106.8W,0
2,10.7N,108.1W,0
3,11.2N,109.6W,0
4,11.7N,110.9W,0
5,12.9N,111.6W,0
6,14.2N,112.4W,0
7,14.9N,112.2W,0
8,16.2N,110.2W,0
9,11.7N,93.5W,0
10,12.8N,93.8W,0
11,14.4N,94.2W,0
12,15.8N,94.1W,0
13,15.2N,101.5W,0
14,15.4N,102.6W,0
15,15.4N,104.4W,0
16,16.4N,106.8W,0
17,17.8N,109.5W,0
18,19.3N,111.2W,0
19,20.1N,113.0W,0
20,21.6N,115.6W,0
21,22.8N,117.6W,0
22,22.8N,117.0W,0
23,22.2N,116.6W,0
24,14.2N,105.5W,0
25,15.8N,109.8W,0
26,17.2N,113.7W,0
27,18.9N,115.5W,0
28,19.7N,116.0W,0
29,20.2N,116.4W,0
30,21.4N,117.8W,0
31,23.4N,119.8W,0
32,25.8N,122.8W,0
33,26.8N,125.0W,0
34,26.9N,126.3W,0
35,26.9N,126.6W,0
36,17.1N,103.4W,0
37,17.4N,104.2W,0
38,16.9N,102.6W,0
39,10.7N,114.0W,0
40,9.5N,118.1W,0
41,9.6N,122.8W,0
42,11.3N,127.0W,0
43,12.2N,140.2W,0
44,15.1N,142.6W,0
45,16.1N,144.4W,0
46,10.4N,121.4W,0
47,11.1N,125.6W,0
48,12.0N,130.6W,0
49,12.2N,135.0W,0
50,12.3N,136.8W,0
51,12.4N,140.9W,0
52,12.6N,145.5W,0
53,12.9N,147.4W,0
54,12.7N,148.9W,0
55,12.8N,150.3W,0
56,12.8N,152.4W,0
57,11.5N,155.6W,0
58,9.6N,159.5W,0
59,9.4N,165.0W,0
60,10.8N,170.7W,0
61,12.5N,176.3W,0
62,15.1N,178.7E,0
63,17.5N,175.9E,0
64,23.1N,177.0E,0
65,30.5N,173.3E,0
66,34.4N,168.3E,0
67,35.4N,165.5E,0
68,36.8N,164.8E,0
69,14.3N,106.6W,0
70,17.5N,110.6W,0
71,20.3N,115.3W,0
72,23.2N,120.4W,0
73,24.7N,123.9W,0
74,25.3N,125.9W,0
75,11.3N,117.9W,0
76,12.4N,121.8W,0
77,13.9N,125.2W,0
78,14.9N,128.8W,0
79,15.4N,132.3W,0
80,16.1N,136.1W,0
81,15.9N,139.1W,0
82,16.9N,143.8W,0
83,18.2N,149.8W,0
84,19.2N,155.4W,0
85,20.7N,161.2W,0
86,19.7N,165.8W,0
87,13.2N,111.9W,0
88,13.8N,114.8W,0
89,13.5N,119.2W,0
90,13.8N,124.0W,0
91,15.1N,129.7W,0
92,16.8N,135.6W,0
93,17.9N,141.2W,0
94,19.9N,146.8W,0
95,23.1N,151.7W,0
96,26.3N,154.7W,0
97,28.2N,156.9W,0
98,30.1N,158.9W,0
99,31.3N,158.4W,0
100,32.3N,157.5W,0
101,33.4N,158.7W,0
102,35.5N,159.2W,0
103,38.8N,158.5W,0
104,15.1N,105.0W,0
105,17.1N,110.6W,0
106,17.0N,115.6W,0
107,17.3N,119.7W,0
108,18.0N,123.5W,0
109,18.0N,127.8W,0
110,16.9N,131.9W,0
111,15.7N,134.1W,0
112,15.9N,136.4W,0
113,15.0N,136.9W,0
114,14.9N,135.7W,0
115,17.0N,134.3W,0
116,17.9N,131.7W,0
117,17.4N,128.2W,0
118,16.8N,127.3W,0
119,15.1N,125.3W,0
120,16.3N,123.1W,0
121,16.0N,114.9W,0
122,16.3N,117.3W,0
123,17.6N,119.4W,0
124,18.7N,121.2W,0
125,19.8N,121.8W,0
126,21.7N,123.8W,0
127,23.5N,126.2W,0
128,25.2N,127.9W,0
129,25.8N,130.3W,0
130,26.7N,133.5W,0
131,29.2N,137.6W,0
132,30.8N,142.2W,0
133,12.9N,101.8W,0
134,14.3N,106.1W,0
135,16.0N,110.8W,0
136,17.5N,114.3W,0
137,20.4N,118.4W,0
138,22.1N,123.2W,0
139,24.8N,128.5W,0
140,28.2N,132.8W,0
