status_id,cyclone_type,origin_coast,category
1,Low Intensity,Northeast Pacific,0
2,Tropical Depression,Northeast Pacific,0
3,Tropical Storm,Northeast Pacific,0
4,Hurricane,Northeast Pacific,4
5,Hurricane,Northeast Pacific,4
6,Hurricane,Northeast Pacific,2
7,Tropical Storm,Northeast Pacific,0
8,Tropical Depression,Northeast Pacific,0
9,Low Intensity,Northeast Pacific,0
10,Low Intensity,Northeast Pacific,0
11,Tropical Storm,Northeast Pacific,0
12,Tropical Depression,Northeast Pacific,0
13,Tropical Depression,Northeast Pacific,0
14,Tropical Storm,Northeast Pacific,0
15,Hurricane,Northeast Pacific,1
16,Hurricane,Northeast Pacific,4
17,Hurricane,Northeast Pacific,2
18,Tropical Storm,Northeast Pacific,0
19,Low Intensity,Northeast Pacific,0
20,Low Intensity,Northeast Pacific,0
21,Low Intensity,Northeast Pacific,0
22,Low Intensity,Northeast Pacific,0
23,Low Intensity,Northeast Pacific,0
24,Tropical Depression,Northeast Pacific,0
25,Tropical Depression,Northeast Pacific,0
26,Tropical Storm,Northeast Pacific,0
27,Tropical Storm,Northeast Pacific,0
28,Tropical Storm,Northeast Pacific,0
29,Tropical Storm,Northeast Pacific,0
30,Tropical Storm,Northeast Pacific,0
31,Low Intensity,Northeast Pacific,0
32,Low Intensity,Northeast Pacific,0
33,Low Intensity,Northeast Pacific,0
34,Low Intensity,Northeast Pacific,0
35,Low Intensity,Northeast Pacific,0
36,Tropical Storm,Northeast Pacific,0
37,Tropical Storm,Northeast Pacific,0
38,Low Intensity,Northeast Pacific,0
39,Low Intensity,Northeast Pacific,0
40,Tropical Depression,Northeast Pacific,0
41,Tropical Storm,Northeast Pacific,0
42,Tropical Depression,Northeast Pacific,0
43,Low Intensity,North Central Pacific,0
44,Tropical Storm,North Central Pacific,0
45,Low Intensity,North Central Pacific,0
46,Low Intensity,Northeast Pacific,0
47,Low Intensity,Northeast Pacific,0
48,Low Intensity,Northeast Pacific,0
49,Tropical Storm,Northeast Pacific,0
50,Tropical Depression,Northeast Pacific,0
51,Tropical Depression,Northeast Pacific,0
52,Low Intensity,Northeast Pacific,0
53,Low Intensity,Northeast Pacific,0
54,Tropical Storm,Northeast Pacific,0
55,Tropical Depression,Northeast Pacific,0
56,Low Intensity,Northeast Pacific,0
57,Tropical Storm,Northeast Pacific,0
58,Tropical Depression,Northeast Pacific,0
59,Tropical Depression,Northeast Pacific,0
60,Tropical Storm,Northeast Pacific,0
61,Hurricane,Northeast Pacific,1
62,Hurricane,Northeast Pacific,5
63,Hurricane,Northeast Pacific,4
64,Hurricane,Northeast Pacific,3
65,Hurricane,Northeast Pacific,1
66,Tropical Storm,Northeast Pacific,0
67,Tropical Depression,Northeast Pacific,0
68,Subtropical Depression,Northeast Pacific,0
69,Tropical Depression,Northeast Pacific,0
70,Tropical Storm,Northeast Pacific,0
71,Tropical Storm,Northeast Pacific,0
72,Low Intensity,Northeast Pacific,0
73,Low Intensity,Northeast Pacific,0
74,Low Intensity,Northeast Pacific,0
75,Low Intensity,Northeast Pacific,0
76,Tropical Depression,Northeast Pacific,0
77,Tropical Storm,Northeast Pacific,0
78,Hurricane,Northeast Pacific,1
79,Hurricane,Northeast Pacific,3
80,Hurricane,Northeast Pacific,4
81,Hurricane,Northeast Pacific,3
82,Hurricane,Northeast Pacific,1
83,Hurricane,Northeast Pacific,1
84,Tropical Storm,Northeast Pacific,0
85,Low Intensity,Northeast Pacific,0
86,Low Intensity,Northeast Pacific,0
87,Low Intensity,Northeast Pacific,0
88,Low Intensity,Northeast Pacific,0
89,Tropical Storm,Northeast Pacific,0
