wind_details_id,max_wind(kn),min_pressure(millibar),wind_type
1,25,1007,Low
2,30,1006,Low
3,60,993,Low
4,120,946,High
5,115,949,High
6,95,966,Moderate
7,55,996,Low
8,30,1004,Low
9,20,1007,Low
10,25,1002,Low
11,35,999,Low
12,25,1004,Low
13,30,1006,Low
14,40,1003,Low
15,70,987,Low
16,130,935,High
17,85,973,Moderate
18,60,990,Low
19,30,1004,Low
20,25,1005,Low
21,15,1007,Low
22,15,1010,Low
23,15,1010,Low
24,30,1006,Low
25,30,1005,Low
26,35,1003,Low
27,40,1001,Low
28,40,1002,Low
29,35,1004,Low
30,35,1006,Low
31,30,1008,Low
32,25,1008,Low
33,20,1009,Low
34,20,1009,Low
35,15,1009,Low
36,45,1002,Low
37,40,1004,Low
38,25,1009,Low
39,20,1008,Low
40,30,1006,Low
41,35,1005,Low
42,25,1007,Low
43,30,1007,Low
44,35,1005,Low
45,25,1008,Low
46,25,1008,Low
47,25,1008,Low
48,30,1007,Low
49,40,1004,Low
50,30,1006,Low
51,30,1006,Low
52,25,1009,Low
53,25,1009,Low
54,35,1005,Low
55,30,1008,Low
56,25,1009,Low
57,35,1006,Low
58,30,1007,Low
59,30,1006,Low
60,35,1004,Low
61,65,990,Low
62,140,918,High
63,130,926,High
64,105,944,Moderate
65,80,963,Low
66,40,993,Low
67,30,1000,Low
68,25,1004,Low
69,30,1007,Low
70,60,994,Low
71,55,996,Low
72,30,1008,Low
73,25,1010,Low
74,20,1012,Low
75,20,1010,Low
76,30,1007,Low
77,55,998,Low
78,75,983,Low
79,100,965,Moderate
80,115,952,High
81,110,957,Moderate
82,75,985,Low
83,75,985,Low
84,50,1001,Low
85,30,1011,Low
86,20,1012,Low
87,25,1008,Low
88,25,1008,Low
89,40,1004,Low
90,50,1000,Low
91,70,985,Low
92,90,971,Low
93,100,964,Moderate
94,85,978,Low
95,80,983,Low
96,65,988,Low
97,55,994,Low
98,65,985,Low
99,55,993,Low
100,30,1005,Low
101,30,1010,Low
102,25,1014,Low
103,20,1014,Low
104,25,1008,Low
105,35,1005,Low
106,60,994,Low
107,50,996,Low
108,40,1002,Low
109,40,1002,Low
110,40,1002,Low
111,45,1000,Low
112,50,1000,Low
113,50,1000,Low
114,60,994,Low
115,75,983,Low
116,55,994,Low
117,30,1002,Low
118,30,1004,Low
119,25,1006,Low
120,20,1006,Low
121,25,1007,Low
122,30,1005,Low
123,45,997,Low
124,50,990,Low
125,65,981,Low
126,55,989,Low
127,35,999,Low
128,30,1002,Low
129,30,1002,Low
130,25,1004,Low
131,25,1008,Low
132,25,1010,Low
133,45,1002,Low
134,75,983,Low
135,130,929,High
136,125,932,High
137,85,965,Low
138,65,980,Low
139,40,997,Low
140,30,1002,Low
141,25,1005,Low
142,25,1009,Low
143,25,1011,Low
144,25,1012,Low
145,35,1004,Low
146,55,995,Low
147,75,978,Low
148,80,970,Low
149,100,960,Moderate
